Strain,Replicate,Condition,Day ,Date,Cell Count,,,,,,,,,,,,,,,,AVG/SQ,Multiplication Factor,Cell Density,OD,,,,,,,,,,,
H,1,MX,0,2020-07-12,1,2,2,1,1,3,2,1,4,3,5,3,3,3,2,1,2,1.00E+04,2.31E+04,0.096,,,,,,,,,,,
H,2,MX,0,2020-07-12,1,0,3,2,3,0,0,0,1,2,2,0,1,1,1,3,1,1.00E+04,1.25E+04,0.026,,,,,,,,,,,
Y,1,MX,0,2020-07-12,1,1,3,3,4,3,2,0,2,1,3,0,5,4,3,5,3,1.00E+04,2.50E+04,0.035,,,,,,,,,,,
Y,2,MX,0,2020-07-12,2,4,3,3,2,0,1,3,2,0,2,2,1,0,5,3,2,1.00E+04,2.06E+04,0.017,,,,,,,,,,,
K,1,MX,0,2020-07-12,5,4,6,2,7,7,4,4,4,0,11,1,5,4,4,3,4,1.00E+04,4.44E+04,0.054,,,,,,,,,,,
K,3,MX,0,2020-07-12,2,2,5,0,3,2,4,2,4,5,3,3,2,2,2,3,3,1.00E+04,2.75E+04,0.03,,,,,,,,,,,
H,1,MX,1,2020-07-13,6,4,2,2,4,0,3,6,2,2,3,1,4,2,3,3,3,1.00E+04,2.94E+04,0.051,,,,,,,,,,,
H,2,MX,1,2020-07-13,2,2,3,2,2,5,3,4,1,4,1,1,2,0,1,4,2,1.00E+04,2.31E+04,0.061,,,,,,,,,,,
Y,1,MX,1,2020-07-13,2,1,5,5,3,2,2,4,0,1,2,2,1,5,6,1,3,1.00E+04,2.63E+04,0.048,,,,,,,,,,,
Y,2,MX,1,2020-07-13,7,2,3,1,3,1,1,1,1,3,2,1,7,4,0,0,2,1.00E+04,2.31E+04,0.04,,,,,,,,,,,
K,1,MX,1,2020-07-13,6,8,2,6,4,4,8,1,7,5,2,9,5,3,3,4,5,1.00E+04,4.81E+04,0.061,,,,,,,,,,,
K,3,MX,1,2020-07-13,1,8,2,3,3,3,5,2,4,3,5,4,6,3,7,8,4,1.00E+04,4.19E+04,0.047,,,,,,,,,,,
H,1,MX,2,2020-07-14,6,7,8,7,8,8,4,6,5,9,5,6,7,3,8,5,6,1.00E+04,6.38E+04,0.174,,,,,,,,,,,
H,2,MX,2,2020-07-14,3,11,8,10,4,8,4,7,8,5,3,5,3,7,6,5,6,1.00E+04,6.06E+04,0.109,,,,,,,,,,,
Y,1,MX,2,2020-07-14,5,5,3,8,4,5,7,3,12,12,4,8,5,3,10,5,6,1.00E+04,6.19E+04,0.081,,,,,,,,,,,
Y,2,MX,2,2020-07-14,2,6,6,5,5,7,5,4,3,4,6,4,7,5,9,4,5,1.00E+04,5.13E+04,0.09,,,,,,,,,,,
K,1,MX,2,2020-07-14,18,6,9,9,7,12,14,8,11,9,12,11,11,8,6,7,10,1.00E+04,9.88E+04,0.137,,,,,,,,,,,
K,3,MX,2,2020-07-14,1,3,14,11,11,12,1,4,14,7,16,6,16,11,6,10,9,1.00E+04,8.94E+04,0.109,,,,,,,,,,,
H,1,MX,3,2020-07-15,17,6,11,7,6,7,2,14,8,10,14,7,13,10,15,8,10,1.00E+04,9.69E+04,0.189,,,,,,,,,,,
H,2,MX,3,2020-07-15,6,3,9,12,18,9,12,7,10,14,17,15,12,8,9,4,10,1.00E+04,1.03E+05,0.204,,,,,,,,,,,
Y,1,MX,3,2020-07-15,6,11,16,10,4,7,6,12,9,20,16,8,9,8,10,3,10,1.00E+04,9.69E+04,0.162,,,,,,,,,,,
Y,2,MX,3,2020-07-15,16,25,15,23,24,15,10,11,6,8,12,11,10,15,7,10,14,1.00E+04,1.36E+05,0.238,,,,,,,,,,,
K,1,MX,3,2020-07-15,19,15,13,24,16,12,15,24,12,10,19,12,9,11,13,12,15,1.00E+04,1.48E+05,0.215,,,,,,,,,,,
K,3,MX,3,2020-07-15,12,8,14,7,11,11,10,11,7,16,8,8,12,10,10,10,10,1.00E+04,1.03E+05,0.137,,,,,,,,,,,
H,1,MX,4,2020-07-16,22,18,22,16,20,12,17,14,20,25,26,12,10,13,14,15,17,1.00E+04,1.73E+05,0.37,,,,,,,,,,,
H,2,MX,4,2020-07-16,18,19,15,14,16,14,19,26,17,16,18,17,11,22,17,14,17,1.00E+04,1.71E+05,0.352,,,,,,,,,,,
Y,1,MX,4,2020-07-16,24,10,14,15,19,17,17,24,11,14,11,16,13,10,32,19,17,1.00E+04,1.66E+05,0.322,,,,,,,,,,,
Y,2,MX,4,2020-07-16,27,20,18,21,11,14,15,13,16,21,24,21,21,20,21,18,19,1.00E+04,1.88E+05,0.329,,,,,,,,,,,
K,1,MX,4,2020-07-16,12,16,21,19,7,18,16,17,10,9,19,20,18,15,10,13,15,1.00E+04,1.52E+05,0.263,,,,,,,,,,,
K,3,MX,4,2020-07-16,9,8,9,17,11,13,16,9,12,9,14,8,11,15,15,12,12,1.00E+04,1.19E+05,0.17,,,,,,,,,,,
H,1,MX,5,2020-07-17,24,20,25,18,4,18,22,31,32,26,31,29,22,27,30,34,25,1.00E+04,2.46E+05,0.475,,,,,,,,,,,
H,2,MX,5,2020-07-17,32,23,23,30,23,31,21,27,21,29,43,19,31,25,25,30,27,1.00E+04,2.67E+05,0.509,,,,,,,,,,,
Y,1,MX,5,2020-07-17,29,33,19,28,20,27,29,30,18,27,20,21,19,27,33,26,25,1.00E+04,2.51E+05,0.419,,,,,,,,,,,
Y,2,MX,5,2020-07-17,25,19,24,16,23,18,28,16,16,19,23,16,18,24,29,19,21,1.00E+04,2.05E+05,0.379,,,,,,,,,,,
K,1,MX,5,2020-07-17,22,26,15,15,13,16,16,12,15,21,16,11,19,13,24,15,16,1.00E+04,1.65E+05,0.319,,,,,,,,,,,
K,3,MX,5,2020-07-17,16,13,9,11,7,18,12,17,7,12,11,16,16,15,13,10,12,1.00E+04,1.25E+05,0.197,,,,,,,,,,,
H,1,MX,6,2020-07-18,28,27,38,26,26,24,39,24,34,16,16,32,30,22,30,30,28,1.00E+04,2.76E+05,0.467,,,,,,,,,,,
H,2,MX,6,2020-07-18,25,19,24,22,29,30,27,23,31,36,27,20,22,39,38,19,27,1.00E+04,2.71E+05,0.443,,,,,,,,,,,
Y,1,MX,6,2020-07-18,13,25,30,24,29,23,27,26,23,24,27,17,28,6,26,15,23,1.00E+04,2.33E+05,0.405,,,,,,,,,,,
Y,2,MX,6,2020-07-18,12,26,12,18,33,19,26,16,20,18,20,18,14,18,22,19,20,1.00E+04,1.99E+05,0.362,,,,,,,,,,,
K,1,MX,6,2020-07-18,27,33,36,38,27,38,39,38,27,38,21,22,34,27,32,20,31,1.00E+04,3.13E+05,0.48,,,,,,,,,,,
K,3,MX,6,2020-07-18,23,15,30,23,21,16,16,21,21,24,23,20,15,18,11,20,20,1.00E+04,1.96E+05,0.326,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
